name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
두릅무침_초고추장,두릅무침,채소무침류,90g,67,7.89,2.16,60.0,289.0,1.08,32.04,0.63,3.4,1469.23,129.93,6.2,2.42,,73.0,0.5549999999999999,18.63,0.0,1.7,0.0,
두릅무침,두릅무침,채소무침류,85.2ml,74,11.6,3.4,44.0,397.0,1.26,43.13,1.05,2.2,,,,,0.06,144.0,1.752,53.26,,14.21,0.0,1.19
두부 달걀찜,두부 달걀찜,찜류,125ml,74,2.56,6.3,39.0,109.0,1.04,37.8,0.74,1.6,,,,,0.18,41.0,0.364,20.31,,0.26,0.17,0.7
두부 달걀찜,두부 달걀찜,찜류,75.6ml,115,4.01,9.7,62.0,170.0,1.62,58.9,1.15,2.4,,,,,0.27,64.0,0.5720000000000001,31.64,,0.41,0.26,1.09
두부 달걀찜,두부 달걀찜,찜류,125ml,75,3.05,6.2,43.0,112.0,1.0,37.9,0.75,1.6,,,,,0.18,43.0,0.42200000000000004,24.51,,0.12,0.29,0.68
두부 달걀탕,두부 달걀탕,국 및 탕류,320ml,45,1.58,4.7,56.0,132.0,0.83,30.61,0.53,1.0,,,,,0.12,15.0,0.19799999999999998,20.75,,0.27,0.13,0.33
두부 달걀탕,두부 달걀탕,국 및 탕류,235.3ml,37,1.73,3.7,41.0,120.0,0.64,24.57,0.43,0.9,,,,,0.09,12.0,0.176,18.28,,0.84,0.11,0.26
두부 달걀탕,두부 달걀탕,국 및 탕류,235.3ml,37,1.73,3.7,41.0,120.0,0.64,24.57,0.43,0.9,,,,,0.09,12.0,0.176,18.28,,0.84,0.11,0.26
두부 된장국,두부 된장국,된장국류,229.3ml,25,1.78,2.5,32.0,71.0,0.44,16.62,0.29,1.0,,,,,0.09,2.0,0.174,9.92,,0.8,0.01,0.14
두부 된장국_바지락,두부 된장국,된장국류,300ml,21,1.64,2.0,15.0,61.0,0.38,14.07,0.26,0.7,,,,,0.06,2.0,0.261,8.43,,1.1,0.0,0.14
두부 된장국_유부,두부 된장국,된장국류,300ml,25,1.54,1.8,25.0,70.0,0.34,10.14,0.2,0.7,,,,,0.09,1.0,0.46099999999999997,7.25,,0.63,0.0,0.15
두부 된장국,두부 된장국,된장국류,260ml,26,2.12,2.3,18.0,95.0,0.43,18.18,0.27,1.1,,,,,0.08,2.0,0.552,10.9,,0.89,0.0,0.15
두부 된장국,두부 된장국,된장국류,260ml,26,2.12,2.3,18.0,95.0,0.43,18.18,0.27,1.1,,,,,0.08,2.0,0.552,10.9,,0.89,0.0,0.15
두부 된장국,두부 된장국,된장국류,260ml,26,2.12,2.3,18.0,95.0,0.43,18.18,0.27,1.1,,,,,0.08,2.0,0.552,10.9,,0.89,0.0,0.15
두부 된장국_유부,두부 된장국,된장국류,300ml,25,1.54,1.8,25.0,70.0,0.34,10.14,0.2,0.7,,,,,0.09,1.0,0.46099999999999997,7.25,,0.63,0.0,0.15
두부 명란찌개,두부 명란찌개,찌개 및 전골류,170.6ml,33,2.72,3.5,14.0,64.0,0.43,18.52,0.32,1.0,,,,,0.12,17.0,0.98,12.38,,0.98,0.99,0.95
두부 애호박찌개,두부 애호박찌개,찌개 및 전골류,234.6ml,27,3.6,2.0,26.0,99.0,0.38,15.72,0.26,1.0,,,,,0.06,9.0,0.188,9.13,,1.44,0.01,0.2
두부 청국장찌개,두부 청국장찌개,찌개 및 전골류,240ml,39,4.34,3.5,30.0,163.0,0.94,26.12,0.43,1.9,,,,,0.08,7.0,0.494,38.04,,1.72,0.0,0.35
두부 청국장찌개,두부 청국장찌개,찌개 및 전골류,240ml,39,4.34,3.5,30.0,163.0,0.94,26.12,0.43,1.9,,,,,0.08,7.0,0.494,38.04,,1.72,0.0,0.35
두부 청국장찌개_김치,두부 청국장찌개,찌개 및 전골류,150ml,34,3.09,2.8,20.0,133.0,0.6,16.7,0.43,1.4,,,,,0.05,5.0,0.504,24.76,,1.58,0.01,0.24
두부 청국장찌개_김치,두부 청국장찌개,찌개 및 전골류,170.28ml,44,3.01,4.7,51.0,159.0,0.86,24.84,0.62,1.4,,,,,0.09,4.0,0.723,30.52,,1.65,0.06,0.28
두부 청국장찌개,두부 청국장찌개,찌개 및 전골류,240ml,39,4.34,3.5,30.0,163.0,0.94,26.12,0.43,1.9,,,,,0.08,7.0,0.494,38.04,,1.72,0.0,0.35
두부 청국장찌개_김치,두부 청국장찌개,찌개 및 전골류,270ml,33,3.32,3.1,25.0,150.0,0.86,20.24,0.36,1.6,,,,,0.05,7.0,0.707,28.19,,2.2,0.0,0.28
두부 탕수,두부 탕수,튀김류,200ml,113,14.02,4.2,31.0,130.0,0.68,36.42,0.52,1.7,,,,,0.32,11.0,0.246,12.25,,2.58,0.0,0.6
두부 탕수,두부 탕수,튀김류,100.4ml,123,15.13,4.5,32.0,120.0,0.73,38.23,0.54,1.8,,,,,0.36,11.0,0.257,12.38,,1.6,0.0,0.66
두부 탕수,두부 탕수,튀김류,100.4ml,123,15.13,4.5,32.0,120.0,0.73,38.23,0.54,1.8,,,,,0.35,11.0,0.257,12.38,,1.6,0.0,0.66
두부국,두부국,국 및 탕류,270ml,19,1.25,1.8,18.0,68.0,0.44,15.93,0.23,0.6,,,,,0.07,2.0,0.47700000000000004,7.87,,1.09,0.01,0.13
두부국,두부국,국 및 탕류,223.9ml,31,1.25,2.5,13.0,59.0,0.37,14.84,0.45,0.6,,,,,0.06,1.0,0.214,6.48,,0.89,0.0,0.13
두부국,두부국,국 및 탕류,223.9ml,31,1.25,2.5,13.0,59.0,0.37,14.84,0.45,0.6,,,,,0.06,1.0,0.214,6.48,,0.89,0.0,0.13
두부국,두부국,국 및 탕류,270ml,19,1.25,1.8,18.0,68.0,0.44,15.93,0.23,0.6,,,,,0.07,2.0,0.47700000000000004,7.87,,1.09,0.01,0.13
두부김치,두부김치,채소볶음류,250g,115,5.63,7.79,99.0,223.0,0.0,37.34,0.7,4.2,-,586.56,91.82,0.0,,31.0,2.485,0.0,0.0,1.14,,
두부김치,두부김치,채소볶음류,400ml,66,3.6,3.8,38.0,147.0,0.75,34.6,0.53,2.3,,,,,0.21,12.0,0.365,21.28,,3.75,0.0,0.71
두부김치_돼지고기,두부김치,채소볶음류,430ml,84,4.06,6.76,45.0,191.0,0.92,,,2.4,,,,,,11.0,1.0070000000000001,26.37,,2.21,0.08,
두부김치,두부김치,채소볶음류,91.8ml,108,5.11,7.8,72.0,226.0,1.34,69.39,1.04,3.7,,,,,0.44,10.0,0.582,35.97,,1.29,0.0,0.99
두부김치,두부김치,채소볶음류,224.1ml,108,5.11,7.8,72.0,226.0,1.34,69.41,1.04,3.7,,,,,0.44,10.0,0.583,35.97,,1.29,0.0,1.0
두부냉채,두부냉채,채소무침류,150ml,94,4.57,7.9,40.0,185.0,0.97,49.04,0.85,1.7,,,,,0.21,2.0,0.96,14.25,,9.39,0.0,0.37
두부냉채,두부냉채,채소무침류,76.2ml,78,4.41,8.9,37.0,177.0,0.93,48.51,0.85,1.7,,,,,0.19,1.0,1.402,14.17,,7.56,0.0,0.39
두부냉채,두부냉채,채소무침류,150ml,77,4.39,8.7,37.0,174.0,0.92,48.15,0.84,1.7,,,,,0.19,1.0,1.359,14.07,,7.33,0.0,0.39
두부볶음_돼지고기,두부볶음,채소볶음류,113.4ml,197,13.12,12.4,57.0,231.0,1.41,73.51,1.29,2.9,,,,,0.66,28.0,1.2650000000000001,19.61,,0.68,0.05,1.38
두부볶음_돼지고기,두부볶음,채소볶음류,113.4ml,197,13.12,12.4,57.0,231.0,1.41,73.51,1.29,2.9,,,,,0.66,28.0,1.2650000000000001,19.61,,0.68,0.05,1.38
두부부침,두부부침,전·적 및 부침류,100g,140,2.07,10.92,63.0,213.0,1.78,104.38,1.36,0.7,10911.45,888.11,130.88,28.08,,0.0,1.3900000000000001,17.86,0.0,0.76,0.0,
두부부침,두부부침,전·적 및 부침류,100g,144,2.69,12.13,241.0,166.0,2.28,,,0.7,,,,,,,0.601,,,0.0,0.0,
두부부침,두부부침,전·적 및 부침류,100ml,152,5.0,12.8,86.0,177.0,2.07,106.86,1.56,3.9,,,,,0.88,0.0,0.494,28.0,,0.0,0.0,1.18
두부부침,두부부침,전·적 및 부침류,37.01ml,180,5.1,13.0,87.0,180.0,2.08,108.34,1.58,3.9,,,,,0.88,0.0,0.5,28.37,,0.0,0.0,1.46
두부부침,두부부침,전·적 및 부침류,48.38ml,187,5.08,12.9,86.0,179.0,2.07,107.73,1.57,3.9,,,,,0.93,0.0,0.497,28.21,,0.0,0.0,1.53
두부부침,두부부침,전·적 및 부침류,110ml,147,4.12,10.5,70.0,145.0,1.68,87.49,1.28,3.2,,,,,0.72,0.0,0.403,22.91,,0.0,0.0,1.2
두부전,두부전,전·적 및 부침류,150g,170,5.0,13.64,169.0,163.0,0.0,66.95,1.3,2.8,-,950.45,138.75,14.93,,0.0,0.33599999999999997,30.77,0.0,0.0,,
두부전,두부전,전·적 및 부침류,160ml,151,4.34,10.2,64.0,136.0,1.61,76.17,1.2,2.7,,,,,0.69,10.0,0.388,24.49,,0.01,0.09,1.24
두부전,두부전,전·적 및 부침류,65.6ml,161,8.66,9.8,58.0,129.0,1.49,67.26,1.1,2.5,,,,,0.62,13.0,0.386,24.11,,0.01,0.11,1.18
두부전,두부전,전·적 및 부침류,65.6ml,161,8.66,9.8,58.0,129.0,1.49,67.26,1.1,2.5,,,,,0.62,13.0,0.386,24.11,,0.01,0.11,1.18
두부전,두부전,전·적 및 부침류,160ml,151,4.56,10.13,65.0,136.0,1.6,,,2.7,,,,,,11.0,0.40700000000000003,26.55,,0.01,0.15,
두부전골,두부전골,찌개 및 전골류,500g,63,3.42,5.12,82.0,144.0,0.0,28.04,0.56,1.5,-,357.32,54.3,7.82,,12.0,0.9339999999999999,15.0,0.77,0.98,,
두부전골,두부전골,찌개 및 전골류,370ml,41,2.87,3.79,30.0,116.0,0.85,,,1.6,,,,,,8.0,0.674,14.99,,0.99,0.0,
두부조림,두부조림,조림류,50g,143,4.4,9.64,53.0,187.0,1.48,84.12,1.16,0.8,9352.56,771.72,100.08,19.84,,8.0,2.2199999999999998,19.06,0.0,0.64,0.0,
두부조림,두부조림,조림류,120ml,142,10.25,11.5,75.0,267.0,1.96,96.62,1.43,4.4,,,,,0.51,20.0,0.966,30.11,,0.43,0.0,1.61
두부조림,두부조림,조림류,60ml,133,8.15,9.39,64.0,183.0,1.58,,,3.2,,,,,,9.0,0.638,23.6,,0.61,0.0,
두부조림_돼지고기,두부조림,조림류,74.8ml,175,7.09,14.7,57.0,314.0,1.58,78.73,1.46,3.2,,,,,0.61,8.0,1.774,24.66,,1.61,0.06,1.36
두부조림,두부조림,조림류,90ml,138,8.66,10.51,71.0,206.0,1.76,,,3.6,,,,,,12.0,0.716,26.16,,0.52,0.0,
두부조림_돼지고기,두부조림,조림류,74.8ml,175,7.09,14.7,57.0,314.0,1.58,78.73,1.46,3.2,,,,,0.61,8.0,1.774,24.66,,1.61,0.06,1.36
두부조림,두부조림,조림류,120ml,142,10.26,11.5,75.0,267.0,1.96,,,4.4,,,,,,20.0,0.968,30.11,,0.43,0.0,
두부찌개_고추장,두부찌개,찌개 및 전골류,500g,52,3.18,4.01,23.0,222.0,0.62,41.1,0.48,0.6,3668.57,294.48,43.35,19.26,,7.0,1.928,16.08,0.17,0.65,0.0,
두부찌개_소고기_고추장,두부찌개,찌개 및 전골류,280g,58,6.73,4.56,12.0,165.0,0.71,22.04,0.65,1.9,4063.1,336.15,63.77,2.97,,12.0,0.22699999999999998,16.63,0.08,0.0,0.0,
두부찌개_소고기_된장,두부찌개,찌개 및 전골류,300g,55,3.5,5.71,28.0,123.0,0.75,26.16,0.34,1.8,5417.34,457.91,38.96,15.01,,6.0,0.41000000000000003,12.43,0.34,0.4,0.0,
두부찌개_새우젓,두부찌개,찌개 및 전골류,300g,55,2.4,5.4,75.0,135.0,0.0,29.36,0.52,2.0,-,373.2,59.0,0.01,,8.0,0.214,11.94,0.04,0.08,,
두부찌개,두부찌개,찌개 및 전골류,222.8ml,30,3.75,2.3,33.0,110.0,0.44,20.76,0.3,1.0,,,,,0.08,10.0,0.186,10.56,,0.96,0.01,0.19
두부찌개_굴,두부찌개,찌개 및 전골류,259.8ml,21,1.5,2.1,21.0,64.0,0.48,18.84,0.9,0.7,,,,,0.08,4.0,0.239,7.46,,1.0,0.0,0.16
두부찌개_굴,두부찌개,찌개 및 전골류,259.8ml,21,1.51,2.1,20.0,64.0,0.47,18.84,0.9,0.7,,,,,0.08,4.0,0.238,7.48,,1.0,0.0,0.16
두부찌개_바지락,두부찌개,찌개 및 전골류,211.1ml,34,3.18,3.3,45.0,110.0,0.64,27.33,0.39,1.0,,,,,0.1,9.0,0.194,12.56,,0.82,0.01,0.22
두부찌개_새우젓,두부찌개,찌개 및 전골류,166.4ml,45,2.67,4.8,80.0,136.0,0.8,44.35,0.57,1.5,,,,,0.16,8.0,0.28400000000000003,16.94,,1.62,0.02,0.37
두부찌개_소고기,두부찌개,찌개 및 전골류,216.4ml,80,5.62,6.0,47.0,157.0,0.92,30.13,1.1,1.4,,,,,0.12,17.0,0.585,10.51,,1.58,0.01,0.32
두부튀김,두부튀김,튀김류,146.8ml,128,10.08,6.7,41.0,135.0,1.08,49.28,0.78,1.9,,,,,0.44,12.0,0.432,18.57,,0.37,0.07,0.93
두부튀김,두부튀김,튀김류,85.4ml,122,9.65,6.4,39.0,130.0,1.03,46.89,0.74,1.8,,,,,0.42,11.0,0.41600000000000004,17.72,,0.36,0.07,0.89
두부튀김,두부튀김,튀김류,85.4ml,122,9.82,6.4,39.0,129.0,1.02,46.89,0.74,1.8,,,,,0.42,12.0,0.433,19.33,,0.38,0.12,0.89
두부튀김,두부튀김,튀김류,146.8ml,128,10.08,6.7,41.0,135.0,1.08,49.28,0.78,1.9,,,,,0.44,12.0,0.432,18.57,,0.37,0.07,0.93
두유 카페라떼,두유 카페라떼,음료 및 차류,355ml,30,2.12,1.4,36.0,122.0,0.25,11.16,0.36,0.3,,,,,0.11,0.0,0.74,13.0,,4.33,0.7,0.22
두유 카페라떼_시럽,두유 카페라떼,음료 및 차류,355ml,44,5.79,1.4,42.0,133.0,0.25,12.31,0.44,0.3,,,,,0.11,0.0,0.8170000000000001,13.0,,4.33,0.7,0.22
들깨국,들깨국,국 및 탕류,190ml,14,1.42,0.58,12.0,82.0,0.2,,,0.6,,,,,,0.0,0.406,7.38,,1.45,0.0,
들깨국,들깨국,국 및 탕류,190ml,15,1.68,0.68,14.0,107.0,0.24,,,0.7,,,,,,1.0,0.644,8.44,,1.74,0.0,
들깨국,들깨국,국 및 탕류,270ml,15,1.66,0.63,13.0,89.0,0.22,,,0.6,,,,,,0.0,0.419,9.4,,1.93,0.0,
들깨죽,들깨죽,죽 및 스프류,128ml,155,21.49,3.8,40.0,80.0,0.83,32.44,0.91,2.5,,,,,2.37,0.0,0.634,13.43,,0.0,0.0,0.58
들깨죽,들깨죽,죽 및 스프류,213.7ml,152,21.16,3.7,40.0,79.0,0.82,31.9,0.89,2.5,,,,,2.33,0.0,0.624,13.2,,0.0,0.0,0.57
들깻잎장아찌,들깻잎장아찌,장아찌·절임류,100g,124,26.0,4.03,178.0,285.0,2.34,,,4.4,,,,,,347.0,1.036,,,12.74,0.0,
등심돈가스,등심돈가스,튀김류,213ml,190,13.9,14.3,17.0,254.0,0.83,19.15,0.99,0.7,,,,,0.32,15.0,2.041,11.57,,5.44,0.23,0.77
등심돈가스,등심돈가스,튀김류,108.9ml,174,14.56,13.8,15.0,253.0,0.75,18.52,0.96,0.7,,,,,0.21,14.0,1.991,11.45,,6.09,0.21,0.61
등심돈가스,등심돈가스,튀김류,108.9ml,174,14.56,13.8,15.0,253.0,0.75,18.52,0.96,0.7,,,,,0.21,14.0,1.991,11.45,,6.09,0.21,0.61
딸기넥타,딸기넥타,음료 및 차류,355ml,31,7.96,0.4,7.0,82.0,0.18,6.96,0.15,0.7,,,,,0.03,0.0,0.304,25.61,,31.38,0.0,0.14
딸기바나나 스무디,딸기바나나 스무디,음료 및 차류,355ml,54,11.75,1.1,29.0,151.0,0.17,12.79,0.2,0.9,,,,,0.02,10.0,0.356,22.34,,19.51,0.02,0.12
딸기바나나 스무디,딸기바나나 스무디,음료 및 차류,355ml,54,11.75,1.1,29.0,151.0,0.17,12.79,0.2,0.9,,,,,0.02,10.0,0.356,22.34,,19.51,0.02,0.12
딸기바나나 스무디,딸기바나나 스무디,음료 및 차류,355ml,54,11.75,1.1,29.0,151.0,0.17,12.79,0.2,0.9,,,,,0.02,10.0,0.356,22.34,,19.51,0.02,0.12
땅콩조림,땅콩조림,조림류,20g,483,19.95,18.75,88.0,518.0,1.6,171.35,1.95,10.3,16407.75,1177.4,135.8,4.55,,0.0,0.6,77.75,0.0,2.0,0.0,
땅콩조림,땅콩조림,조림류,15ml,268,15.91,12.0,34.0,360.0,1.47,85.75,1.56,6.1,,,,,0.03,0.0,5.135000000000001,42.13,,0.02,0.0,5.23
땅콩조림,땅콩조림,조림류,15ml,268,15.91,12.0,34.0,360.0,1.47,85.75,1.56,6.1,,,,,0.03,0.0,5.135000000000001,42.13,,0.02,0.0,5.23
땅콩조림,땅콩조림,조림류,95ml,258,16.02,11.9,33.0,357.0,0.97,84.85,1.51,4.2,,,,,0.01,0.0,4.23,57.3,,0.03,0.0,0.69
땅콩죽,땅콩죽,죽 및 스프류,259ml,116,18.08,3.4,6.0,74.0,0.19,20.05,0.64,1.1,,,,,0.0,0.0,0.9460000000000001,12.81,,0.0,0.0,0.2
땅콩죽,땅콩죽,죽 및 스프류,145ml,147,24.97,3.9,7.0,79.0,0.2,21.95,0.8,1.2,,,,,0.0,0.0,1.012,13.69,,0.0,0.0,0.23
땅콩죽,땅콩죽,죽 및 스프류,198.1ml,146,24.78,3.9,7.0,106.0,0.52,22.7,0.8,1.0,,,,,0.0,0.0,1.1300000000000001,13.12,,0.0,0.0,0.16
떡갈비,떡갈비,육류 및 채소구이류,200g,202,2.46,21.38,22.0,299.0,2.9,19.03,6.7,1.1,19397.12,1561.87,263.23,20.79,,6.0,6.035,5.03,2.87,0.77,0.0,
떡강정_매콤치즈 소떡소떡,떡강정,튀김류,100g,229,31.0,9.03,,,,,,,,,,,,,0.0,,,,,
떡강정_못난이소떡소떡,떡강정,튀김류,100g,260,37.5,7.9,,,,,,,,,,,,,0.0,,,,,
떡강정_BBQ 소떡,떡강정,튀김류,100g,232,,7.71,,,,,,,,,,,,,0.0,,,,,
떡강정,떡강정,튀김류,200g,249,47.89,3.79,10.0,91.0,0.3,13.8,0.62,1.3,3793.05,332.3,72.8,3.67,,18.0,0.07500000000000001,9.13,0.0,0.0,0.0,
떡강정,떡강정,튀김류,232.2ml,225,40.75,2.8,11.0,72.0,0.17,11.51,0.61,1.0,,,,,0.36,9.0,0.21500000000000002,12.21,,1.11,0.0,0.67
떡강정,떡강정,튀김류,103.1ml,202,36.43,2.5,9.0,54.0,0.13,9.02,0.55,0.8,,,,,0.33,8.0,0.133,10.0,,0.48,0.0,0.6
떡강정,떡강정,튀김류,103.1ml,202,36.43,2.5,9.0,54.0,0.13,9.02,0.55,0.8,,,,,0.33,8.0,0.133,10.0,,0.48,0.0,0.6
떡국,떡국,면 및 만두류,700g,84,16.37,3.43,4.0,51.0,0.37,7.45,0.71,0.8,3199.42,291.68,17.71,7.73,,0.0,0.516,9.5,0.15,2.25,0.0,
떡국_굴,떡국,면 및 만두류,600ml,90,16.69,4.0,80.0,98.0,2.79,21.93,2.38,1.6,,,,,0.04,10.0,0.432,27.16,,0.18,0.07,0.22
떡국_달걀,떡국,면 및 만두류,600ml,85,17.9,2.1,8.0,32.0,0.22,6.33,0.38,0.3,,,,,0.02,9.0,0.261,9.24,,0.16,0.05,0.1
떡국_소고기_달걀,떡국,면 및 만두류,600ml,87,15.87,3.3,10.0,78.0,0.53,9.53,0.54,0.4,,,,,0.01,10.0,0.6749999999999999,10.26,,0.25,0.05,0.11
떡국_모듬,떡국,면 및 만두류,600ml,86,17.14,2.7,17.0,54.0,0.61,9.11,0.66,0.5,,,,,0.02,9.0,0.40700000000000003,11.62,,0.19,0.05,0.12
떡국_달걀,떡국,면 및 만두류,600ml,85,17.9,2.1,8.0,32.0,0.22,6.33,0.38,0.3,,,,,0.02,9.0,0.261,9.24,,0.16,0.05,0.1
떡국_소고기,떡국,면 및 만두류,190ml,76,13.5,2.74,8.0,79.0,0.3,,,0.4,,,,,,7.0,0.654,7.99,,0.33,0.05,
떡국_소고기_달걀,떡국,면 및 만두류,190ml,76,13.33,2.8,8.0,80.0,0.3,8.59,0.58,0.4,,,,,0.02,7.0,0.637,7.26,,0.31,0.03,0.09
떡국_달걀,떡국,면 및 만두류,600ml,85,17.9,2.1,8.0,32.0,0.22,6.33,0.38,0.3,,,,,0.02,9.0,0.261,9.24,,0.16,0.05,0.1
떡국_소고기,떡국,면 및 만두류,210ml,99,17.72,3.44,9.0,79.0,0.35,,,0.4,,,,,,15.0,0.6,11.45,,0.71,0.07,
떡국_소고기_달걀,떡국,면 및 만두류,210ml,99,17.72,3.4,9.0,78.0,0.35,9.68,0.7,0.4,,,,,0.04,15.0,0.618,11.45,,0.73,0.07,0.13
떡국_굴,떡국,면 및 만두류,600ml,90,16.69,4.0,80.0,98.0,2.79,21.93,2.38,1.6,,,,,0.04,10.0,0.432,27.16,,0.18,0.07,0.22
떡국_달걀,떡국,면 및 만두류,490ml,43,8.78,1.19,6.0,39.0,0.12,,,0.2,,,,,,8.0,0.28300000000000003,6.27,,0.32,0.06,
떡국_소고기,떡국,면 및 만두류,420ml,108,21.14,2.9,7.0,41.0,0.24,8.08,0.64,0.4,,,,,0.01,5.0,0.199,9.14,,0.23,0.02,0.07
떡국_소고기_달걀,떡국,면 및 만두류,600ml,87,15.87,3.3,10.0,78.0,0.53,9.53,0.54,0.4,,,,,0.01,10.0,0.6749999999999999,10.26,,0.25,0.05,0.11
떡만두국,떡만두국,면 및 만두류,600g,111,15.47,3.53,15.0,91.0,0.56,8.47,0.4,1.8,3028.57,256.85,45.89,7.99,,0.0,0.414,6.59,0.0,0.0,0.0,
떡만두국,떡만두국,면 및 만두류,700g,89,15.82,2.87,14.0,53.0,0.0,0.0,0.0,1.2,-,0.0,0.0,0.0,,5.0,0.89,0.0,0.0,0.0,,
떡만두국_고기만두,떡만두국,면 및 만두류,600ml,90,15.12,3.4,17.0,94.0,0.83,12.39,0.41,1.2,,,,,0.02,11.0,0.671,15.0,,0.24,0.05,0.12
떡만두국_김치만두,떡만두국,면 및 만두류,600ml,87,14.56,3.1,19.0,95.0,0.6,13.12,0.42,1.3,,,,,0.15,11.0,0.5640000000000001,14.27,,0.35,0.04,0.16
떡만두국,떡만두국,면 및 만두류,180ml,76,12.06,3.0,19.0,60.0,0.98,9.5,0.44,1.1,,,,,0.02,8.0,0.381,12.5,,0.27,0.04,0.1
떡만두국_고기만두,떡만두국,면 및 만두류,250ml,61,9.69,2.46,14.0,78.0,0.59,,,1.0,,,,,,8.0,0.526,11.49,,0.25,0.04,
떡만두국,떡만두국,면 및 만두류,257.8ml,86,16.74,2.5,13.0,45.0,0.47,8.83,0.35,0.9,,,,,0.02,6.0,0.20400000000000001,12.54,,0.1,0.05,0.07
떡만두국_고기만두,떡만두국,면 및 만두류,340ml,67,10.7,2.67,16.0,80.0,0.67,,,1.1,,,,,,10.0,0.577,12.73,,0.32,0.04,
떡만두국,떡만두국,면 및 만두류,1007.4ml,49,7.71,1.9,7.0,35.0,0.33,5.7,0.3,0.5,,,,,0.01,5.0,0.17300000000000001,6.9,,0.1,0.03,0.06
떡만두국_고기만두,떡만두국,면 및 만두류,540ml,69,11.89,2.46,14.0,66.0,0.56,,,1.0,,,,,,8.0,0.417,12.0,,0.42,0.03,
떡만두국_김치만두,떡만두국,면 및 만두류,600ml,86,14.7,3.1,20.0,98.0,0.62,13.42,0.42,1.4,,,,,0.15,13.0,0.6080000000000001,16.18,,0.36,0.07,0.16
떡볶이_국물맵떡,떡볶이,볶음류,100g,139,,4.09,,,,,,,,,,,,,0.0,,,,,
떡볶이_까르보떡볶이,떡볶이,볶음류,100g,180,,4.3,,,,,,,,,,,,,0.0,,,,,
떡볶이_로제닭볶이,떡볶이,볶음류,100g,176,,7.57,,,,,,,,,,,,,0.0,,,,,
떡볶이_로제떡볶이,떡볶이,볶음류,100g,187,,5.03,,,,,,,,,,,,,0.0,,,,,
떡볶이_호로록떡볶이,떡볶이,볶음류,100g,114,,4.13,,,,,,,,,,,,,0.0,,,,,
떡볶이_간편조리세트_호로록 로제 떡볶이,떡볶이,볶음류,1100g,184,30.25,4.37,124.0,167.0,0.56,,,2.4,,,,,,,0.94,,,0.14,0.0,
떡볶이,떡볶이,볶음류,180g,144,25.96,3.51,14.0,84.0,0.18,12.72,0.34,1.0,3028.52,248.55,53.16,13.23,,15.0,0.222,10.1,0.0,1.92,0.0,
떡볶이_채소,떡볶이,볶음류,200g,258,57.06,3.12,14.0,94.0,0.24,15.65,0.62,1.3,3274.32,288.18,56.93,1.82,,20.0,0.44499999999999995,6.3,0.0,0.0,0.0,
떡볶이_치즈,떡볶이,볶음류,100g,164,29.31,5.54,90.0,93.0,0.55,,,0.8,,,,,,,1.313,,,0.17,0.0,
떡볶이_소고기,떡볶이,볶음류,335.6ml,87,15.1,2.0,8.0,74.0,0.26,8.77,0.46,0.8,,,,,0.07,28.0,0.324,7.16,,0.64,0.0,0.31
떡볶이_소고기_버섯,떡볶이,볶음류,412ml,77,14.17,1.9,6.0,65.0,0.24,6.68,0.46,0.7,,,,,0.01,25.0,0.42500000000000004,5.94,,0.48,0.0,0.18
떡볶이_어묵,떡볶이,볶음류,100ml,130,27.18,3.2,17.0,121.0,0.3,13.46,0.44,1.4,,,,,0.08,37.0,0.46699999999999997,10.69,,2.01,0.0,0.56
떡볶이_양배추,떡볶이,볶음류,380.4ml,60,13.36,1.3,8.0,69.0,0.15,7.24,0.24,0.8,,,,,0.01,20.0,0.239,6.73,,1.95,0.0,0.18
떡볶이_카레,떡볶이,볶음류,235.4ml,91,11.64,2.3,6.0,54.0,0.27,5.58,0.59,0.4,,,,,0.09,22.0,0.28400000000000003,5.32,,0.46,0.0,0.2
떡볶이_간장,떡볶이,볶음류,80ml,168,30.93,4.81,13.0,111.0,0.5,,,1.0,,,,,,23.0,0.772,14.86,,1.11,0.01,
떡볶이_고추장_어묵,떡볶이,볶음류,100ml,154,32.47,3.65,19.0,118.0,0.3,,,1.3,,,,,,39.0,0.497,11.09,,1.83,0.0,
떡볶이_소고기,떡볶이,볶음류,114.5ml,157,25.28,4.1,18.0,112.0,0.41,13.3,0.76,1.1,,,,,0.16,39.0,0.489,11.12,,2.07,0.0,0.37
떡볶이_모듬,떡볶이,볶음류,70ml,125,24.89,3.2,18.0,88.0,0.28,11.02,0.44,1.0,,,,,0.08,39.0,0.299,11.3,,1.33,0.06,0.35
떡볶이,떡볶이,볶음류,74.8ml,258,53.39,4.3,21.0,181.0,0.42,22.71,0.86,2.3,,,,,0.2,74.0,0.67,19.89,,3.08,0.0,0.91
떡볶이_간장,떡볶이,볶음류,150ml,145,27.33,4.52,13.0,111.0,0.42,,,0.9,,,,,,22.0,0.733,13.15,,1.45,0.01,
떡볶이_고추장_메추리알,떡볶이,볶음류,260ml,100,19.23,3.11,17.0,83.0,0.39,,,0.9,,,,,,40.0,0.32799999999999996,14.64,,1.41,0.17,
