name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
가지나물,가지나물,나물·숙채류,130ml,25,3.82,1.06,16.0,176.0,0.25,,,2.0,,,,,,7.0,0.45999999999999996,11.42,,0.61,0.0,
가지냉국,가지냉국,국 및 탕류,160ml,19,3.42,1.1,16.0,168.0,0.27,15.96,0.37,1.9,,,,,0.01,9.0,0.473,10.66,,0.24,0.0,0.31
가지볶음_가지,가지볶음,채소볶음류,60ml,35,3.36,0.9,12.0,139.0,0.22,,,1.6,,,,,,4.0,0.375,8.87,,0.41,0.0,
가지볶음_가지_고추,가지볶음,채소볶음류,60ml,27,3.36,0.91,11.0,142.0,0.21,,,1.6,,,,,,4.0,0.379,9.36,,1.33,0.0,
가지볶음_가지_당근,가지볶음,채소볶음류,75ml,37,4.56,0.93,13.0,155.0,0.22,,,1.7,,,,,,19.0,0.403,10.21,,0.63,0.0,
가지전,가지전,전·적 및 부침류,200g,123,8.88,5.48,33.0,187.0,0.92,24.89,0.75,2.3,4504.12,390.58,87.86,7.36,,3.0,0.7150000000000001,12.08,0.51,0.0,0.0,
가지전,가지전,전·적 및 부침류,96.5ml,114,11.22,3.2,19.0,195.0,0.47,15.09,0.57,2.2,,,,,0.35,15.0,0.515,16.99,,0.02,0.11,0.69
가지전,가지전,전·적 및 부침류,208.7ml,37,3.68,1.1,6.0,64.0,0.15,4.94,0.19,0.7,,,,,0.11,5.0,0.16799999999999998,5.57,,0.01,0.04,0.23
가지전,가지전,전·적 및 부침류,208.7ml,37,3.68,1.1,6.0,64.0,0.15,4.94,0.19,0.7,,,,,0.11,5.0,0.16799999999999998,5.57,,0.01,0.04,0.23
가지전,가지전,전·적 및 부침류,96.5ml,114,11.22,3.2,19.0,195.0,0.47,15.09,0.57,2.2,,,,,0.35,15.0,0.515,16.99,,0.02,0.11,0.69
가지찜,가지찜,찜류,100ml,120,10.23,5.6,21.0,313.0,0.92,25.18,1.45,2.9,,,,,0.02,24.0,1.279,19.83,,7.16,0.0,0.49
